Client ID,Type,Status,Class Name,Start Datetime,Login Source,Membership Type,Location,Program Service,Counts Towards Membership Limits,Clients → Client Active,Class → Coach Name,Appointment Details - Appointment Booking → Provider Name
1154863,Classes,Attended,CrossFit: 11:00 AM,2025-03-23T11:00:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Niamh Byrne,
1154877,Classes,Attended,CrossFit: 11:00 AM,2025-03-23T11:00:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Niamh Byrne,
1154892,Classes,Attended,1. Workout of the Day: 10:00 AM,2025-03-23T10:00:00,Mobile App,Class Plan,Bua Naas,1. Workout of the Day,Yes,Active,Jamie Lawlor,
1718565,Classes,Attended,CrossFit: 10:00 AM,2025-03-23T10:00:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Niamh Byrne,
2008006,Classes,Attended,CrossFit: 10:00 AM,2025-03-23T10:00:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Niamh Byrne,
2314733,Classes,Attended,CrossFit: 10:00 AM,2025-03-23T10:00:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Niamh Byrne,
2797452,Classes,Attended,CrossFit: 11:00 AM,2025-03-23T11:00:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Niamh Byrne,
2797453,Classes,Attended,CrossFit: 11:00 AM,2025-03-23T11:00:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Niamh Byrne,
2863359,Classes,Attended,CrossFit: 10:00 AM,2025-03-23T10:00:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Niamh Byrne,
3449352,Classes,Attended,CrossFit: 11:00 AM,2025-03-23T11:00:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Niamh Byrne,
3776390,Classes,Attended,1. Workout of the Day: 9:00 AM,2025-03-23T09:00:00,Mobile App,Class Plan,Bua Naas,1. Workout of the Day,Yes,Active,Jamie Lawlor,
3781481,Classes,Attended,CrossFit: 10:00 AM,2025-03-23T10:00:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Niamh Byrne,
3834703,Classes,Attended,1. Workout of the Day: 9:00 AM,2025-03-23T09:00:00,Mobile App,Class Plan,Bua Naas,1. Workout of the Day,Yes,Active,Jamie Lawlor,
3860277,Classes,Attended,CrossFit: 9:00 AM,2025-03-23T09:00:00,Mobile App,Class Plan,Bua Celbridge,1. Workout of the Day,Yes,Active,Brooke Dunne,
3860286,Classes,Attended,CrossFit: 9:00 AM,2025-03-23T09:00:00,Mobile App,Class Plan,Bua Celbridge,1. Workout of the Day,Yes,Active,Brooke Dunne,
3860296,Classes,Attended,CrossFit: 9:00 AM,2025-03-23T09:00:00,Mobile App,Class Plan,Bua Celbridge,1. Workout of the Day,Yes,Active,Brooke Dunne,
3860344,Classes,Attended,CrossFit: 9:00 AM,2025-03-23T09:00:00,Mobile App,Class Plan,Bua Celbridge,1. Workout of the Day,Yes,Active,Brooke Dunne,
3862447,Classes,Attended,CrossFit: 10:00 AM,2025-03-23T10:00:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Niamh Byrne,
3868686,Classes,Attended,CrossFit: 10:30 AM,2025-03-23T10:30:00,Mobile App,Class Plan,Bua Smithfield,1. Workout of the Day,Yes,Active,João Lucas Bugatti,
3869262,Classes,Attended,CrossFit: 10:00 AM,2025-03-23T10:00:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Niamh Byrne,
3906236,Classes,Attended,CrossFit: 11:00 AM,2025-03-23T11:00:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Niamh Byrne,
4019347,Classes,Attended,CrossFit: 11:00 AM,2025-03-23T11:00:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Niamh Byrne,
4046466,Classes,Attended,1. Workout of the Day: 9:00 AM,2025-03-23T09:00:00,Mobile App,Class Plan,Bua Naas,1. Workout of the Day,Yes,Active,Jamie Lawlor,
