Client ID,Type,Status,Class Name,Start Datetime,Login Source,Membership Type,Location,Program Service,Counts Towards Membership Limits,Clients → Client Active,Class → Coach Name,Appointment Details - Appointment Booking → Provider Name
1154795,Classes,Attended,CrossFit: 12:30 PM,2024-05-07T12:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Jose Espejo,
1154782,Classes,Attended,CrossFit: 6:00 PM,2024-05-07T18:00:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Amy Flynn,
4739389,Classes,Attended,CrossFit: 6:00 PM,2024-05-07T18:00:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Amy Flynn,
4718475,Classes,Attended,CrossFit: 12:30 PM,2024-05-07T12:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Inactive,Jose Espejo,
4671008,Classes,Attended,CrossFit: 6:00 PM,2024-05-07T18:00:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Inactive,Amy Flynn,
4573742,Classes,Attended,CrossFit: 6:00 PM,2024-05-07T18:00:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Amy Flynn,
4571043,Classes,Attended,CrossFit: 6:00 PM,2024-05-07T18:00:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Amy Flynn,
4540340,Classes,Attended,CrossFit: 6:00 PM,2024-05-07T18:00:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Amy Flynn,
4975179,Classes,Attended,CrossFit: 5:30 AM,2024-05-07T05:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,James Rankin,
5293376,Classes,Attended,CrossFit: 6:00 PM,2024-05-07T18:00:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Amy Flynn,
5301265,Classes,Attended,CrossFit: 6:00 PM,2024-05-07T18:00:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Amy Flynn,
